date,california unemployment,isPartial
2014-01-05,98,False
2014-01-12,100,False
2014-01-19,95,False
2014-01-26,86,False
2014-02-02,74,False
2014-02-09,65,False
2014-02-16,67,False
2014-02-23,74,False
2014-03-02,68,False
2014-03-09,71,False
2014-03-16,71,False
2014-03-23,69,False
2014-03-30,68,False
2014-04-06,68,False
2014-04-13,58,False
2014-04-20,60,False
2014-04-27,66,False
2014-05-04,61,False
2014-05-11,68,False
2014-05-18,63,False
2014-05-25,59,False
2014-06-01,76,False
2014-06-08,62,False
2014-06-15,64,False
2014-06-22,62,False
2014-06-29,50,False
2014-07-06,68,False
2014-07-13,63,False
2014-07-20,65,False
2014-07-27,58,False
2014-08-03,62,False
2014-08-10,52,False
2014-08-17,60,False
2014-08-24,55,False
2014-08-31,60,False
2014-09-07,55,False
2014-09-14,56,False
2014-09-21,50,False
2014-09-28,60,False
2014-10-05,54,False
2014-10-12,41,False
2014-10-19,50,False
2014-10-26,46,False
2014-11-02,50,False
2014-11-09,46,False
2014-11-16,48,False
2014-11-23,38,False
2014-11-30,55,False
2014-12-07,47,False
2014-12-14,50,False
2014-12-21,36,False
2014-12-28,43,False
2015-01-04,56,False
2015-01-11,56,False
2015-01-18,58,False
2015-01-25,50,False
2015-02-01,50,False
2015-02-08,48,False
2015-02-15,45,False
2015-02-22,44,False
2015-03-01,45,False
2015-03-08,51,False
2015-03-15,49,False
2015-03-22,46,False
2015-03-29,45,False
2015-04-05,44,False
2015-04-12,52,False
2015-04-19,43,False
2015-04-26,49,False
2015-05-03,43,False
2015-05-10,48,False
2015-05-17,49,False
2015-05-24,41,False
2015-05-31,43,False
2015-06-07,42,False
2015-06-14,48,False
2015-06-21,45,False
2015-06-28,50,False
2015-07-05,49,False
2015-07-12,46,False
2015-07-19,54,False
2015-07-26,50,False
2015-08-02,42,False
2015-08-09,41,False
2015-08-16,44,False
2015-08-23,40,False
2015-08-30,49,False
2015-09-06,47,False
2015-09-13,41,False
2015-09-20,46,False
2015-09-27,46,False
2015-10-04,37,False
2015-10-11,41,False
2015-10-18,42,False
2015-10-25,40,False
2015-11-01,42,False
2015-11-08,42,False
2015-11-15,43,False
2015-11-22,35,False
2015-11-29,49,False
2015-12-06,46,False
2015-12-13,42,False
2015-12-20,36,False
2015-12-27,42,False
2016-01-03,57,False
2016-01-10,47,False
2016-01-17,45,False
2016-01-24,46,False
2016-01-31,53,False
2016-02-07,45,False
2016-02-14,37,False
2016-02-21,43,False
2016-02-28,41,False
2016-03-06,42,False
2016-03-13,46,False
2016-03-20,39,False
2016-03-27,41,False
2016-04-03,42,False
2016-04-10,46,False
2016-04-17,44,False
2016-04-24,38,False
2016-05-01,40,False
2016-05-08,36,False
2016-05-15,39,False
2016-05-22,35,False
2016-05-29,39,False
2016-06-05,47,False
2016-06-12,40,False
2016-06-19,47,False
2016-06-26,38,False
2016-07-03,39,False
2016-07-10,39,False
2016-07-17,42,False
2016-07-24,42,False
2016-07-31,36,False
2016-08-07,34,False
2016-08-14,34,False
2016-08-21,40,False
2016-08-28,37,False
2016-09-04,31,False
2016-09-11,38,False
2016-09-18,35,False
2016-09-25,36,False
2016-10-02,36,False
2016-10-09,38,False
2016-10-16,38,False
2016-10-23,38,False
2016-10-30,39,False
2016-11-06,41,False
2016-11-13,38,False
2016-11-20,29,False
2016-11-27,37,False
2016-12-04,42,False
2016-12-11,41,False
2016-12-18,39,False
2016-12-25,36,False
2017-01-01,49,False
2017-01-08,48,False
2017-01-15,48,False
2017-01-22,47,False
2017-01-29,43,False
2017-02-05,46,False
2017-02-12,41,False
2017-02-19,39,False
2017-02-26,43,False
2017-03-05,42,False
2017-03-12,36,False
2017-03-19,42,False
2017-03-26,40,False
2017-04-02,41,False
2017-04-09,41,False
2017-04-16,42,False
2017-04-23,41,False
2017-04-30,36,False
2017-05-07,38,False
2017-05-14,37,False
2017-05-21,33,False
2017-05-28,33,False
2017-06-04,37,False
2017-06-11,39,False
2017-06-18,40,False
2017-06-25,41,False
2017-07-02,43,False
2017-07-09,36,False
2017-07-16,39,False
2017-07-23,38,False
2017-07-30,42,False
2017-08-06,38,False
2017-08-13,34,False
2017-08-20,34,False
2017-08-27,42,False
2017-09-03,29,False
2017-09-10,37,False
2017-09-17,35,False
2017-09-24,39,False
2017-10-01,41,False
2017-10-08,38,False
2017-10-15,43,False
2017-10-22,37,False
2017-10-29,35,False
2017-11-05,40,False
2017-11-12,42,False
2017-11-19,28,False
2017-11-26,40,False
2017-12-03,36,False
2017-12-10,39,False
2017-12-17,38,False
2017-12-24,34,False
2017-12-31,45,False
2018-01-07,52,False
2018-01-14,47,False
2018-01-21,46,False
2018-01-28,42,False
2018-02-04,42,False
2018-02-11,38,False
2018-02-18,33,False
2018-02-25,36,False
2018-03-04,41,False
2018-03-11,41,False
2018-03-18,39,False
2018-03-25,39,False
2018-04-01,44,False
2018-04-08,35,False
2018-04-15,39,False
2018-04-22,39,False
2018-04-29,40,False
2018-05-06,39,False
2018-05-13,39,False
2018-05-20,34,False
2018-05-27,36,False
2018-06-03,43,False
2018-06-10,36,False
2018-06-17,38,False
2018-06-24,46,False
2018-07-01,38,False
2018-07-08,40,False
2018-07-15,39,False
2018-07-22,39,False
2018-07-29,36,False
2018-08-05,36,False
2018-08-12,42,False
2018-08-19,40,False
2018-08-26,36,False
2018-09-02,34,False
2018-09-09,34,False
2018-09-16,37,False
2018-09-23,36,False
2018-09-30,38,False
2018-10-07,36,False
2018-10-14,33,False
2018-10-21,37,False
2018-10-28,34,False
2018-11-04,36,False
2018-11-11,39,False
2018-11-18,29,False
2018-11-25,40,False
2018-12-02,37,False
2018-12-09,37,False
2018-12-16,37,False
2018-12-23,27,False
2018-12-30,41,False
