date,unemployment insurance,isPartial
2014-01-05,100,False
2014-01-12,86,False
2014-01-19,68,False
2014-01-26,84,False
2014-02-02,68,False
2014-02-09,64,False
2014-02-16,60,False
2014-02-23,67,False
2014-03-02,62,False
2014-03-09,67,False
2014-03-16,59,False
2014-03-23,67,False
2014-03-30,69,False
2014-04-06,68,False
2014-04-13,58,False
2014-04-20,56,False
2014-04-27,63,False
2014-05-04,52,False
2014-05-11,50,False
2014-05-18,53,False
2014-05-25,47,False
2014-06-01,43,False
2014-06-08,43,False
2014-06-15,42,False
2014-06-22,45,False
2014-06-29,45,False
2014-07-06,46,False
2014-07-13,46,False
2014-07-20,47,False
2014-07-27,40,False
2014-08-03,39,False
2014-08-10,37,False
2014-08-17,45,False
2014-08-24,37,False
2014-08-31,36,False
2014-09-07,35,False
2014-09-14,33,False
2014-09-21,39,False
2014-09-28,39,False
2014-10-05,37,False
2014-10-12,37,False
2014-10-19,38,False
2014-10-26,36,False
2014-11-02,37,False
2014-11-09,38,False
2014-11-16,42,False
2014-11-23,36,False
2014-11-30,39,False
2014-12-07,45,False
2014-12-14,47,False
2014-12-21,37,False
2014-12-28,39,False
2015-01-04,53,False
2015-01-11,51,False
2015-01-18,51,False
2015-01-25,54,False
2015-02-01,46,False
2015-02-08,45,False
2015-02-15,40,False
2015-02-22,35,False
2015-03-01,42,False
2015-03-08,39,False
2015-03-15,38,False
2015-03-22,39,False
2015-03-29,39,False
2015-04-05,40,False
2015-04-12,40,False
2015-04-19,41,False
2015-04-26,42,False
2015-05-03,34,False
2015-05-10,33,False
2015-05-17,33,False
2015-05-24,35,False
2015-05-31,41,False
2015-06-07,34,False
2015-06-14,37,False
2015-06-21,36,False
2015-06-28,34,False
2015-07-05,39,False
2015-07-12,36,False
2015-07-19,40,False
2015-07-26,39,False
2015-08-02,35,False
2015-08-09,34,False
2015-08-16,30,False
2015-08-23,32,False
2015-08-30,36,False
2015-09-06,28,False
2015-09-13,36,False
2015-09-20,34,False
2015-09-27,34,False
2015-10-04,38,False
2015-10-11,36,False
2015-10-18,42,False
2015-10-25,40,False
2015-11-01,43,False
2015-11-08,36,False
2015-11-15,35,False
2015-11-22,29,False
2015-11-29,37,False
2015-12-06,35,False
2015-12-13,36,False
2015-12-20,30,False
2015-12-27,38,False
2016-01-03,41,False
2016-01-10,45,False
2016-01-17,40,False
2016-01-24,36,False
2016-01-31,40,False
2016-02-07,37,False
2016-02-14,35,False
2016-02-21,37,False
2016-02-28,35,False
2016-03-06,37,False
2016-03-13,35,False
2016-03-20,32,False
2016-03-27,37,False
2016-04-03,33,False
2016-04-10,35,False
2016-04-17,37,False
2016-04-24,31,False
2016-05-01,35,False
2016-05-08,33,False
2016-05-15,30,False
2016-05-22,28,False
2016-05-29,31,False
2016-06-05,33,False
2016-06-12,30,False
2016-06-19,28,False
2016-06-26,31,False
2016-07-03,31,False
2016-07-10,31,False
2016-07-17,27,False
2016-07-24,31,False
2016-07-31,29,False
2016-08-07,30,False
2016-08-14,26,False
2016-08-21,31,False
2016-08-28,26,False
2016-09-04,25,False
2016-09-11,23,False
2016-09-18,28,False
2016-09-25,30,False
2016-10-02,34,False
2016-10-09,30,False
2016-10-16,31,False
2016-10-23,33,False
2016-10-30,33,False
2016-11-06,29,False
2016-11-13,32,False
2016-11-20,26,False
2016-11-27,32,False
2016-12-04,33,False
2016-12-11,35,False
2016-12-18,29,False
2016-12-25,33,False
2017-01-01,39,False
2017-01-08,43,False
2017-01-15,44,False
2017-01-22,45,False
2017-01-29,36,False
2017-02-05,36,False
2017-02-12,32,False
2017-02-19,33,False
2017-02-26,31,False
2017-03-05,36,False
2017-03-12,31,False
2017-03-19,36,False
2017-03-26,35,False
2017-04-02,32,False
2017-04-09,31,False
2017-04-16,32,False
2017-04-23,32,False
2017-04-30,34,False
2017-05-07,33,False
2017-05-14,27,False
2017-05-21,29,False
2017-05-28,30,False
2017-06-04,33,False
2017-06-11,31,False
2017-06-18,32,False
2017-06-25,33,False
2017-07-02,34,False
2017-07-09,34,False
2017-07-16,32,False
2017-07-23,37,False
2017-07-30,33,False
2017-08-06,28,False
2017-08-13,27,False
2017-08-20,28,False
2017-08-27,27,False
2017-09-03,25,False
2017-09-10,30,False
2017-09-17,27,False
2017-09-24,32,False
2017-10-01,29,False
2017-10-08,34,False
2017-10-15,32,False
2017-10-22,32,False
2017-10-29,33,False
2017-11-05,28,False
2017-11-12,35,False
2017-11-19,31,False
2017-11-26,35,False
2017-12-03,35,False
2017-12-10,35,False
2017-12-17,32,False
2017-12-24,30,False
2017-12-31,35,False
2018-01-07,39,False
2018-01-14,34,False
2018-01-21,39,False
2018-01-28,42,False
2018-02-04,32,False
2018-02-11,29,False
2018-02-18,33,False
2018-02-25,33,False
2018-03-04,31,False
2018-03-11,32,False
2018-03-18,33,False
2018-03-25,35,False
2018-04-01,33,False
2018-04-08,35,False
2018-04-15,34,False
2018-04-22,36,False
2018-04-29,32,False
2018-05-06,28,False
2018-05-13,26,False
2018-05-20,28,False
2018-05-27,27,False
2018-06-03,27,False
2018-06-10,30,False
2018-06-17,25,False
2018-06-24,32,False
2018-07-01,32,False
2018-07-08,34,False
2018-07-15,29,False
2018-07-22,35,False
2018-07-29,32,False
2018-08-05,29,False
2018-08-12,33,False
2018-08-19,27,False
2018-08-26,26,False
2018-09-02,26,False
2018-09-09,26,False
2018-09-16,27,False
2018-09-23,25,False
2018-09-30,29,False
2018-10-07,26,False
2018-10-14,34,False
2018-10-21,30,False
2018-10-28,32,False
2018-11-04,32,False
2018-11-11,30,False
2018-11-18,22,False
2018-11-25,34,False
2018-12-02,32,False
2018-12-09,33,False
2018-12-16,32,False
2018-12-23,24,False
2018-12-30,37,False
